ID,Description
mmu04020,Calcium signaling pathway - Mus musculus (house mouse)
mmu04022,cGMP-PKG signaling pathway - Mus musculus (house mouse)
mmu04080,Neuroactive ligand-receptor interaction - Mus musculus (house mouse)
mmu04261,Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse)
mmu04270,Vascular smooth muscle contraction - Mus musculus (house mouse)
mmu04924,Renin secretion - Mus musculus (house mouse)
mmu04925,Aldosterone synthesis and secretion - Mus musculus (house mouse)
