ID,Description
mmu00040,Pentose and glucuronate interconversions - Mus musculus (house mouse)
mmu00053,Ascorbate and aldarate metabolism - Mus musculus (house mouse)
mmu00983,Drug metabolism - other enzymes - Mus musculus (house mouse)
mmu04976,Bile secretion - Mus musculus (house mouse)
mmu04144,Endocytosis - Mus musculus (house mouse)
mmu04514,Cell adhesion molecule (CAM) interaction - Mus musculus (house mouse)
mmu04613,Neutrophil extracellular trap formation - Mus musculus (house mouse)
mmu04081,Hormone signaling - Mus musculus (house mouse)
mmu05207,Chemical carcinogenesis - receptor activation - Mus musculus (house mouse)
