Gene Symbol,Gene ID,Interaction Count,Organism Count
CRYBB2,1415,2,2
CTSD,1509,2,1
CTSO,1519,2,2
CXCL1,2919,2,1
CYBRD1,79901,2,2
CYP19A1,1588,2,1
CYP27A1,1593,2,1
CYP7A1,1581,2,1
DCTPP1,79077,2,2
DCUN1D4,23142,2,2
DDAH1,23576,2,2
DDIT3,1649,2,2
DDX39A,10212,2,2
DDX3Y,8653,2,1
DDX60,55601,2,2
DES,1674,2,1
DGKH,160851,2,2
DIABLO,56616,2,1
DIAPH3,81624,2,1
DNM1L,10059,2,1
DNMT1,1786,2,1
DNPH1,10591,2,2
DPP4,1803,2,2
DUSP6,1848,2,1
E2F2,1870,2,2
EAF1,85403,2,2
EIF4A1,1973,2,2
EIF5,1983,2,2
ENDOG,2021,2,2
ENO3,2027,2,1
EPHA4,2043,2,1
ERO1A,30001,2,2
EXOSC6,118460,2,2
EYA2,2139,2,1
EZH2,2146,2,2
FABP3,2170,2,2
FANCA,2175,2,1
FANCG,2189,2,2
FAT4,79633,2,1
FBL,2091,2,2
FOSL1,8061,2,2
FOXO3,2309,2,1
G6PD,2539,2,2
GAS5,60674,2,2
GDF15,9518,2,2
GGT1,2678,2,2
GH1,2688,2,1
GLB1,2720,2,1
GLI1,2735,2,1
GMNN,51053,2,1
GPNMB,10457,2,2
GPX1A,352926,2,1
GPX3,2878,2,2
GSTM.1,324366,2,1
GSTP1,2950,2,2
GTPBP6,8225,2,1
GUSB,2990,2,1
H2AJ,55766,2,1
H2AZ1,3015,2,2
HBA1,3039,2,1
HEPH,9843,2,2
HHIP,64399,2,2
HMGB1,3146,2,2
HMGB2,3148,2,2
HMGCR,3156,2,2
HMGN2,3151,2,1
HMMR,3161,2,2
HNRNPAB,3182,2,2
HSD17B1,3292,2,1
HSPA2,3306,2,2
HSPB1,3315,2,2
IDH2,3418,2,2
IER2,9592,2,1
IGF1R,3480,2,1
IGF2,3481,2,2
IL4,3565,2,2
INF2,64423,2,2
INHBB,3625,2,1
IQGAP3,128239,2,2
IRAK2,3656,2,2
KIFC1,3833,2,2
KLF8,11279,2,1
KPNA2,3838,2,2
KRT34,3885,2,1
L3HYPDH,112849,2,1
LAMA1,284217,2,1
LDLR,3949,2,2
LHCGR,3973,2,1
LRRC28,123355,2,1
LSS,4047,2,2
MAPT,4137,2,1
MASP1,5648,2,1
MBOAT1,154141,2,1
MCM5,4174,2,2
MFN2,9927,2,1
MIR494,574452,2,1
MKI67,4288,2,2
MMP13,4322,2,1
MRPS18B,28973,2,2
MRPS2,51116,2,2
MSMO1,6307,2,2
MSRA,4482,2,2
MTHFD1,4522,2,2
MTUS1,57509,2,2
MUC13,56667,2,2
MUTYH,4595,2,1
MX1,4599,2,1
MXI1,4601,2,2
MYH6,4624,2,1
MYH7,4625,2,1
MYH9,4627,2,1
MYLIP,29116,2,1
NANOG,79923,2,1
NAT10,55226,2,2
NCAPG2,54892,2,2
ND1,4535,2,1
NMI,9111,2,2
NOTCH1,4851,2,1
NPM3,10360,2,2
NR5A1,2516,2,1
NUSAP1,51203,2,2
OCLN,100506658,2,1
ORC6,23594,2,2
OSBPL1A,114876,2,2
PDGFB,5155,2,1
PDGFC,56034,2,2
PDGFRB,5159,2,1
PHLDA1,22822,2,2
PKM,5315,2,1
PLCE1,51196,2,1
PLEK2,26499,2,2
PLIN2,123,2,2
PLS1,5357,2,2
PMEPA1,56937,2,2
POU5F1,5460,2,1
PPARA,5465,2,2
PPIA,5478,2,2
PPM1G,5496,2,2
PPME1,51400,2,1
PRKDC,5591,2,1
PRLR,5618,2,2
PRRC1,133619,2,2
PSG3,5671,2,1
PTK2,5747,2,1
PTMA,5757,2,2
PTPRE,5791,2,2
PTTG1,9232,2,1
PWP1,11137,2,2
RAD17,5884,2,1
RALGPS2,55103,2,2
RANBP1,5902,2,2
RANBP2,5903,2,2
RANGAP1,5905,2,2
RFC2,5982,2,1
RFLNB,359845,2,2
RGS2,5997,2,1
RIOK2,55781,2,2
RNF19B,127544,2,2
ROCK2,9475,2,1
RPL10,6134,2,2
RPL27A,6157,2,2
RPL34,6164,2,2
RPS24,6229,2,2
RPS3,6188,2,2
RRM2,6241,2,2
SAMD9,54809,2,1
SARDH,1757,2,2
SELPLG,6404,2,2
SETDB1,9869,2,1
SFTPB,6439,2,2
SH3RF2,153769,2,2
SIVA1,10572,2,2
SKA1,220134,2,2
SKA3,221150,2,2
SKIC8,80349,2,2
SLC11A2,4891,2,2
SLC13A4,26266,2,1
SLC27A2,11001,2,2
SLC27A4,10999,2,2
SLC40A1,30061,2,2
SLC46A1,113235,2,2
SMIM3,85027,2,2
SNAI1,6615,2,1
SNAI2,6591,2,1
SNHG1,23642,2,2
SNHG5,387066,2,2
SNHG7,84973,2,2
SOX2,6657,2,1
SRD5A1,6715,2,1
SRSF2,6427,2,2
SRSF5,6430,2,2
TAF7,6879,2,1
TCF19,6941,2,2
TFPI,7035,2,1
TGFB1,7040,2,1
THOP1,7064,2,2
TMEM171,134285,2,1
TNFRSF10B,8795,2,1
TNFSF10,8743,2,2
TOB1,10140,2,1
TOX,9760,2,1
TPM1,7168,2,2
TRIM59,286827,2,2
TSR1,55720,2,2
TUBA1A,7846,2,2
TXNRD1,7296,2,2
TYMP,1890,2,2
TYMS,7298,2,1
UACA,55075,2,1
UBE2C,11065,2,1
UBE2S,27338,2,2
UBE3D,90025,2,2
USF1,7391,2,1
USF2,7392,2,1
UTRN,7402,2,2
WDR4,10785,2,1
XIAP,331,2,2
XPNPEP2,7512,2,1
ZFAND5,7763,2,2
ZNF804A,91752,2,1
AACS,65985,1,1
AAMDC,28971,1,1
ABCA7,10347,1,1
ABCA8A,217258,1,1
ABCB4,5244,1,1
ABCC1,4363,1,1
ABCC5,10057,1,1
ABCE1,6059,1,1
ABCG5,64240,1,1
ABHD1,84696,1,1
ABHD11,83451,1,1
ABHD12,26090,1,1
ABHD4,63874,1,1
ABI3,51225,1,1
ABI3BP,25890,1,1
ABRAXAS2,23172,1,1
ACAD10,80724,1,1
ACAD11,84129,1,1
ACADM,34,1,1
ACBD7,414149,1,1
ACCS,84680,1,1
ACE2,59272,1,1
ACHE,43,1,1
ACLY,47,1,1
ACOT12,134526,1,1
ACOX1,51,1,1
ACP2,53,1,1
ACP5,54,1,1
ACRBP,84519,1,1
ACSL1,2180,1,1
ACSM3,6296,1,1
ACTC1,70,1,1
ACTG1,71,1,1
ACTG2,72,1,1
ACTN1,87,1,1
ACTR1B,10120,1,1
ADAP2,55803,1,1
ADARB1,104,1,1
ADCK1,57143,1,1
ADCK5,203054,1,1
ADCY4,196883,1,1
ADD2,119,1,1
ADGRB2,576,1,1
ADGRL2,23266,1,1
ADH1B,125,1,1
ADISSP,54976,1,1
ADORA2B,136,1,1
ADPGK,83440,1,1
ADPRHL1,113622,1,1
ADRA1D,146,1,1
ADSL,158,1,1
AEN,64782,1,1
AGAP1,116987,1,1
AGAP6,414189,1,1
AGMAT,79814,1,1
AGMO,392636,1,1
AGO4,192670,1,1
AGPAT3,56894,1,1
AGPAT5,55326,1,1
AGRN,375790,1,1
AGT,183,1,1
AGTR1,185,1,1
AK4,205,1,1
AK6,102157402,1,1
AK9,221264,1,1
AKAP12,9590,1,1
AKAP13,11214,1,1
AKAP6,9472,1,1
