Gene Symbol,Gene ID,Interaction Count,Organism Count
RPS7,6201,5,4
RRM2,6241,5,2
SCO1,6341,5,1
SHANK2,22941,5,3
SLC2A1,6513,5,2
SLC7A11,23657,5,3
SPARC,6678,5,3
SRXN1,140809,5,1
STMN1,3925,5,3
TCF4,6925,5,2
TFEB,7942,5,1
TFRC,7037,5,1
THBS1,7057,5,2
THRB,7068,5,4
TJP1,7082,5,4
TK1,7083,5,4
TMBIM4,51643,5,1
TOP2A,7153,5,4
TRIB3,57761,5,1
TSC22D1,8848,5,3
TUBA4A,7277,5,2
UBA52,7311,5,4
UCHL1,7345,5,3
UHRF1,29128,5,3
VEGFC,7424,5,2
VTN,7448,5,2
ZFAND2A,90637,5,1
ABCF2,10061,4,3
ACLY,47,4,3
ACSL1,2180,4,2
ACSS2,55902,4,2
ALAS2,212,4,3
ALDH1A1,216,4,3
ALDH2,217,4,3
ALDOA,226,4,3
AMPD3,272,4,3
APOA4,337,4,3
APOE,348,4,3
AQP1,358,4,3
AQP3,360,4,3
ASNS,440,4,2
ATF4,468,4,3
ATM,472,4,2
ATP5F1A,498,4,4
BAK1,578,4,1
BARD1,580,4,2
BNIP3L,665,4,2
CCL5,6352,4,2
CCND2,894,4,2
CD14,929,4,2
CD274,29126,4,1
CDC42,998,4,2
CDK6,1021,4,3
CDKN1C,1028,4,1
CFH,3075,4,3
CLDN4,1364,4,2
CNN3,1266,4,3
COX1,4512,4,3
COX4I1,1327,4,3
CREB1,1385,4,2
CRYAA,1409,4,2
CTH,1491,4,3
CTR1A,31601,4,1
CYP19A1,1588,4,1
DDIT4,54541,4,1
DHCR7,1717,4,2
DNAJA4,55466,4,1
DNAJB6,10049,4,2
DNAJB9,4189,4,1
DNMT1,1786,4,2
DPYSL3,1809,4,3
DUSP5,1847,4,1
DUSP6,1848,4,3
DYNLL2,140735,4,3
E2F8,79733,4,2
EEF1B2,1933,4,3
ELN,2006,4,1
ELOVL6,79071,4,3
ETS1,2113,4,2
FAS,355,4,2
FLOT1,10211,4,2
GALNT10,55568,4,3
GLO1,2739,4,4
GPX1A,352926,4,2
GSS,2937,4,4
GSTM3,2947,4,2
HBA1,3039,4,3
HEY1,23462,4,3
HGF,3082,4,1
HNRNPL,3191,4,2
HNRNPU,3192,4,2
HRG,3273,4,2
HSPA1L,3305,4,2
HSPB8,26353,4,1
ICAM1,3383,4,2
IDE,3416,4,3
IDH3A,3419,4,3
IER3,8870,4,1
IER5,51278,4,1
IGF1R,3480,4,2
IGFBP5,3488,4,3
IGFBP6,3489,4,2
IL12B,3593,4,2
IL2,3558,4,2
INS,3630,4,1
INS1,16333,4,1
ITGA2,3673,4,2
ITGAV,3685,4,1
KEAP1,9817,4,2
KIF5A,3798,4,1
KIFC1,3833,4,3
KLHL24,54800,4,3
KRT75,9119,4,2
KRT8,3856,4,3
LATS2,26524,4,1
LCAT,3931,4,3
LMNB1,4001,4,1
MB,4151,4,3
MCM4,4173,4,2
MCM6,4175,4,2
MCM7,4176,4,2
MDH1,4190,4,3
MGST3,4259,4,4
MPI,4351,4,2
MPO,4353,4,2
MSMO1,6307,4,4
MT1E,4493,4,1
MT1L,4500,4,1
MTNB,42424,4,1
MYBBP1A,10514,4,2
NCF2,4688,4,2
NDC80,10403,4,3
NEFL,4747,4,2
NPC2,10577,4,3
OCLN,100506658,4,3
PCK2,5106,4,2
PDGFA,5154,4,2
PDK2,5164,4,3
PICALM,8301,4,2
PIM1,5292,4,1
PLK1,5347,4,2
PMAIP1,5366,4,1
PPARG,5468,4,2
PPARGC1A,10891,4,2
PPP1R15A,23645,4,1
PROC,5624,4,2
PTGES,9536,4,2
RPS15,6209,4,4
RPS6KB1,6198,4,2
RYBP,23429,4,1
S100A13,6284,4,1
S100B,6285,4,2
S100P,6286,4,1
SAT1,6303,4,1
SCD,6319,4,2
SELE,6401,4,2
SEPTIN4,5414,4,3
SFN,2810,4,3
SFPQ,6421,4,3
SHANK3,85358,4,2
SLC27A4,10999,4,1
SNAI1,6615,4,2
SOCS1,8651,4,2
SPTBN1,6711,4,2
SQLE,6713,4,3
STAT3,6774,4,3
STEAP2,261729,4,2
SULF1,23213,4,2
SULT2ST1,338214,4,1
SYT1,6857,4,2
SYX5,34966,4,1
TAGLN2,8407,4,3
TARDBP,23435,4,4
TIMP1,7076,4,2
TK2,7084,4,2
TNC,3371,4,4
TPM3,7170,4,3
TRIM16,10626,4,2
