Gene Symbol,Gene ID,Interaction Count,Organism Count
IL1R2,7850,3,1
IRS1,3667,3,3
ITGB6,3694,3,1
KCTD5,54442,3,2
KDR,3791,3,2
KLK5,25818,3,1
LATS2,26524,3,1
LEPR,3953,3,2
MID1,4281,3,2
MIR146A,406938,3,2
MIR204,406987,3,2
MIR205,406988,3,2
MIR296,407022,3,2
MIR375,494324,3,2
MMP3,4314,3,2
MT1L,4500,3,1
MTOR,2475,3,1
MTUS1,57509,3,2
MYC,4609,3,1
NCF1,653361,3,1
NQO2,4835,3,1
NR3C1,2908,3,2
NR4A1,3164,3,1
NR4A3,8013,3,2
P2RX2,22953,3,1
PGD,5226,3,2
PML,5371,3,1
PRKCA,5578,3,2
PRKCB,5579,3,2
PSEN1,5663,3,2
RARA,5914,3,1
RHO,6010,3,0
SEMG1,6406,3,1
SEMG2,6407,3,1
SERPINB2,5055,3,2
SLC18A2,6571,3,1
SLC39A9,55334,3,1
SLC6A4,6532,3,1
SST,6750,3,2
THRSP,7069,3,2
TMPRSS11D,9407,3,1
TNFRSF1A,7132,3,2
TNFRSF9,3604,3,1
XDH,7498,3,2
ABCB1,5243,2,2
ABCG1,9619,2,2
ACADL,33,2,2
ACADSB,36,2,2
ACLY,47,2,2
ACP5,54,2,1
ADRB2,154,2,1
AHR,196,2,1
AIM2,9447,2,1
AKR1B8,14187,2,1
ALDH6A1,4329,2,2
ANXA3,306,2,1
ARG2,384,2,2
ASPG,374569,2,1
ATF2,1386,2,1
ATF5,22809,2,1
ATOSA,56204,2,1
ATP7B,540,2,1
B3GAT1,27087,2,2
BAG3,9531,2,1
BDKRB1,623,2,1
BECN1,8678,2,1
BLMH,642,2,1
BRCA1,672,2,1
BUB1,699,2,1
C1ORF52,148423,2,1
C1QB,713,2,1
C8G,733,2,2
CA2,760,2,2
CACNA1C,775,2,1
CACNA1H,8912,2,1
CAPN11,11131,2,1
CCL17,6361,2,1
CCL19,6363,2,1
CCL24,6369,2,2
CCL7,6354,2,1
CCL8,6355,2,1
CCL9,20308,2,1
CCNB2,9133,2,1
CCS,9973,2,2
CD4,920,2,2
CD9,928,2,1
CDCA5,113130,2,1
CDH1,999,2,1
CDKN1C,1028,2,1
CDKN3,1033,2,1
CEBPB,1051,2,1
CES1C,13884,2,1
CFB,629,2,1
CFI,3426,2,2
CHAC1,79094,2,1
CKM,1158,2,2
CLCF1,23529,2,2
CLDN15A,573644,2,1
CMKLR1,1240,2,1
CNBP,7555,2,1
CPN2,1370,2,1
CREB1,1385,2,1
CRISPLD2,83716,2,2
CRYAA,1409,2,1
CSF1,1435,2,1
CSRP3,8048,2,1
CTSK,1513,2,1
CTSL,1514,2,2
CX3CL1,6376,2,1
CXCL16,58191,2,1
CXCL9,4283,2,1
CXCR4,7852,2,2
CYP2C11,29277,2,1
CYP2D9,13105,2,1
CYP3A2,266682,2,1
CYP4A10,13117,2,1
CYP4A2,24306,2,1
CYTH1,9267,2,2
DGAT1,8694,2,1
DLD,1738,2,1
DRD2,1813,2,2
ECH1,1891,2,1
ECI1,1632,2,1
EGLN1,54583,2,1
EIF5,1983,2,1
EIF5A,1984,2,1
ENPP7,339221,2,1
F5,2153,2,2
FABP5,2171,2,2
FABP7,2173,2,1
FKBP3,2287,2,1
FLT1,2321,2,2
FOSL1,8061,2,2
FOXO4,4303,2,1
FXYD4,53828,2,1
G0S2,50486,2,1
GABRA1,2554,2,1
GABRB2,2561,2,1
GADD45B,4616,2,2
GATA6,2627,2,2
GK,2710,2,1
GPLD1,2822,2,1
GRIN2B,2904,2,1
GSDMD,79792,2,1
GSTA5,221357,2,1
H2AX,3014,2,2
HDAC1,3065,2,2
HJV,148738,2,2
HMGCS1,3157,2,2
HNF1A,6927,2,1
HOXC10,3226,2,2
HP,3240,2,2
HPGD,3248,2,1
HSP90AA1,3320,2,2
HSPA1B,3304,2,1
HSPA5,3309,2,2
HSPA6,3310,2,1
HSPH1,10808,2,2
IAPP,3375,2,2
IFIT2,3433,2,1
IFIT3,3437,2,1
IGFALS,3483,2,2
IGFBP7,3490,2,1
IL3,3562,2,1
IL4,3565,2,2
IL6R,3570,2,1
IL8L1,395872,2,1
IL9R,3581,2,1
IRS2,8660,2,2
ITGAX,3687,2,1
ITIH2,3698,2,2
IVL,3713,2,1
JCHAIN,3512,2,1
JUNB,3726,2,2
KCND2,3751,2,1
KCNQ1,3784,2,1
KIF20A,10112,2,1
KLF6,1316,2,1
KLF9,687,2,2
KLK10,5655,2,1
KPNA2,3838,2,1
KRT1,3848,2,2
KRT6A,3853,2,2
LATS1,9113,2,1
LCK,3932,2,1
LIF,3976,2,1
LIG3,3980,2,1
LIPC,3990,2,1
LIPF,8513,2,1
LITAF,9516,2,1
LPL,4023,2,2
LTA4H,4048,2,2
LTF,4057,2,0
LYPLA1,10434,2,1
MAP2K1,5604,2,2
MAP2K2,5605,2,2
MAPK9,5601,2,1
MAPT,4137,2,1
MCOLN1,57192,2,2
MGMT,4255,2,1
MGP,4256,2,1
MIR10B,406903,2,1
MIR142,406934,2,1
MIR145,406937,2,1
MIR150,406942,2,1
MIR151,387169,2,1
MIR15B,406949,2,2
MIR182,406958,2,1
MIR192,406967,2,2
MIR196B,442920,2,2
MIR200A,406983,2,2
MIR200B,406984,2,1
MIR208A,406990,2,2
MIR21,406991,2,1
MIR211,406993,2,2
MIR214,406996,2,1
MIR31,407035,2,1
MIR340,442908,2,1
MIR342,442909,2,1
MIR500,723974,2,1
MIR544,100124450,2,1
MIR96,407053,2,1
MIS12,79003,2,1
MKI67,4288,2,2
MLKL,197259,2,1
MMP13,4322,2,1
MMP19,4327,2,1
MMP1A,83995,2,1
MPO,4353,2,1
MTF-1,39089,2,1
MTL-1,179060,2,1
MTNA,41202,2,1
MTNB,42424,2,1
MUC1,4582,2,2
MYH7,4625,2,2
MZF1,7593,2,1
NAB1,4664,2,2
NFE2L3,9603,2,2
NFKB2,4791,2,1
NKD,44843,2,1
NME1,4830,2,1
NMNAT1,64802,2,1
NOS2B,563654,2,1
NPM1,4869,2,1
NPY,4852,2,1
NR4A2,4929,2,1
NRF1,4899,2,2
NRTN,4902,2,1
NTRK2,4915,2,2
OCM,654231,2,1
OPRD1,4985,2,1
P4HB,5034,2,1
PAX6,5080,2,2
PCP4,5121,2,2
PDGFRB,5159,2,1
PDK4,5166,2,2
PER2,8864,2,1
PF4,5196,2,1
PGF,5228,2,1
PGLYRP2,114770,2,1
PHYH,5264,2,1
PIM3,415116,2,2
POLR2A,5430,2,1
PON1,5444,2,2
PPIA,5478,2,1
PPIF,10105,2,2
PPP1R15A,23645,2,2
PPP2R1A,5518,2,1
PRL,5617,2,2
PRLR,5618,2,2
PRSS35,167681,2,1
PSAT1,29968,2,1
PSP-I,396818,2,1
PTPN1,5770,2,2
RAB3A,5864,2,2
RAD18,56852,2,1
RBM25,58517,2,2
RCAN1,1827,2,1
RGS16,6004,2,2
RGS17,26575,2,1
RHEB,6009,2,1
RHOV,171177,2,1
RRBP1,6238,2,1
RRM2,6241,2,2
