Gene Symbol,Gene ID,Interaction Count,Organism Count
MTTP,4547,3,3
MYD88,4615,3,2
MYH7,4625,3,1
MYL6,4637,3,1
NFKBIB,4793,3,2
NLGN1,22871,3,2
NR1H3,10062,3,2
NR3C1,2908,3,2
NTRK2,4915,3,2
PARP1,142,3,1
PEG3,5178,3,2
PGM1,5236,3,2
POLD1,5424,3,2
PON1,5444,3,2
PORCN,64840,3,1
POU2F2,5452,3,1
PRDX1,5052,3,3
PRL,5617,3,2
PVALB,5816,3,2
RAD23,43785,3,1
RCAN1,1827,3,2
REST,5978,3,1
RGCC,28984,3,1
RPL37,6167,3,1
RTCA,8634,3,1
RUNX1,861,3,1
S100A10,6281,3,1
SEC61A2,55176,3,2
SERPING1,710,3,1
SLC27A1,376497,3,2
SLC31A1,1317,3,2
SLC5A5,6528,3,2
SPATA6,54558,3,2
SREBF2,6721,3,2
STAR,6770,3,2
STAT1,6772,3,2
STEAP4,79689,3,1
STIM1,6786,3,1
TBC1D14,57533,3,1
TJP2,9414,3,1
TNFRSF1B,7133,3,2
TNP2,7142,3,2
TSPAN7,7102,3,1
UCP2,7351,3,2
UNC5CL,222643,3,1
VTG1,559475,3,1
XBP1,7494,3,2
ABCB4,5244,2,1
ABCC5,10057,2,2
ABLIM1,3983,2,1
ACACB,32,2,1
ACO1,48,2,1
ACSL4,2182,2,2
ACTB,60,2,1
ACTN1,87,2,2
ADAM9,8754,2,1
ADD1,118,2,1
ADGRB2,576,2,1
ADGRL1,22859,2,1
AGT,183,2,2
AHSG,197,2,1
AKR1B10,57016,2,1
ALDOC,230,2,1
ALPL,249,2,1
ANK1,286,2,1
ANK2,287,2,2
ANKRD12,23253,2,1
ANP32A,8125,2,1
ANXA2,302,2,1
AP2B1,163,2,1
APAF1,317,2,1
APOE,348,2,1
APOL4,80832,2,1
AQP1,358,2,2
ARHGEF4,50649,2,1
ASTA-R1,44126,2,1
ATAD5,79915,2,1
ATF4,468,2,1
ATP6AP2,10159,2,1
ATP6V1G2,534,2,2
ATP7A,538,2,1
BAG6,7917,2,1
BCL2L1,598,2,1
BHLHE40,8553,2,1
BMAL1,406,2,2
BSG,682,2,1
BTBD8,284697,2,1
CA2,760,2,1
CA9,768,2,1
CALD1,800,2,1
CAMK2N1,55450,2,1
CASK,8573,2,1
CASP14,23581,2,1
CBL,867,2,1
CBLB,868,2,1
CCL5,6352,2,2
CCNA1,8900,2,1
CCNB1,891,2,2
CCNG1,900,2,1
CD36,948,2,1
CD70,970,2,2
CD9,928,2,1
CDK4,1019,2,1
CEBPB,1051,2,2
CHEK1,1111,2,1
CHMP3,51652,2,1
CHST11,50515,2,2
CLASP2,23122,2,1
CLDN11,5010,2,1
CLN8,2055,2,1
CLSTN1,22883,2,1
CLTA,1211,2,1
CLU,1191,2,1
COX2,4513,2,1
COX3,4514,2,1
CPT1AA,558088,2,1
CRHB,492507,2,1
CRYAB,1410,2,2
CSF2,1437,2,1
CSTPP1,79096,2,2
CTNNA1,1495,2,1
CTSH,1512,2,1
CUX2,23316,2,1
CYP26C1,340665,2,2
CYREN,78996,2,1
DDX17,10521,2,2
DENND3,22898,2,1
DGAT1A,325875,2,1
DHCR7,1717,2,1
DIO1,1733,2,1
DIO2,1734,2,1
DMD,1756,2,1
DNASE1,1773,2,1
DRD,318102,2,1
DRD2,1813,2,2
EEF1D,1936,2,1
EEPD1,80820,2,1
EGLN1,54583,2,2
EIF2B4,8890,2,1
EIF3B,8662,2,1
EIF4A1,1973,2,1
EIF4EBP1,1978,2,1
ELN,2006,2,1
EML2,24139,2,1
EN2,2020,2,1
EPB41,2035,2,1
ERCC1,2067,2,1
EVI5,7813,2,1
FABP4,2167,2,2
FABP5,2171,2,1
FABP9,646480,2,2
FAM171B,165215,2,1
FAM174A,345757,2,1
FDFT1,2222,2,2
FHL1,2273,2,2
FSHB,2488,2,2
FTL,2512,2,2
FYN,2534,2,1
GABRA1,2554,2,1
GABRB1,2560,2,1
GAD1,2571,2,2
GH1,2688,2,1
GJB2,2706,2,1
GLS,2744,2,2
GLTPD2,388323,2,1
GM2A,2760,2,1
GOT1,2805,2,2
GPC1,2817,2,1
GPM6B,2824,2,1
GPNMB,10457,2,1
GPX1A,352926,2,1
GPX2,2877,2,2
GRIA1,2890,2,2
GRIK4,2900,2,1
GRM5,2915,2,1
GSTM.1,324366,2,1
