Gene Symbol,Gene ID,Interaction Count,Organism Count
NOX4,50507,8,3
OGG1,4968,8,3
PGR,5241,8,2
S100B,6285,8,1
SLC47A1,55244,8,2
SPP1,6696,8,3
TGFB3,7043,8,2
TNFRSF11B,4982,8,3
VMP1,81671,8,2
ALPL,249,7,3
ANXA1,301,7,2
ARL6,84100,7,1
B2M,567,7,3
BACH1,571,7,1
BDNF,627,7,3
CAMK2A,815,7,1
CASP7,840,7,3
CCN2,1490,7,3
CCNB2,9133,7,3
CDH2,1000,7,2
CYBB,1536,7,2
CYP1A,140634,7,3
DES,1674,7,3
FADS1,3992,7,3
FASN,2194,7,5
G6PC1,2538,7,3
HSPA1B,3304,7,2
HSPH1,10808,7,3
IRS1,3667,7,3
JUNB,3726,7,3
LAMP2,3920,7,3
LGR4,55366,7,3
LPL,4023,7,4
MAP1LC3A,84557,7,5
MAP2K1,5604,7,3
MAP3K7,6885,7,3
MIOX,55586,7,3
MKI67,4288,7,3
MTL-1,179060,7,1
MTNA,41202,7,1
ND1,4535,7,3
NFKB1,4790,7,3
PFKFB3,5209,7,4
PLAUR,5329,7,3
PRKAA1,5562,7,4
RAB7A,7879,7,2
RARA,5914,7,2
RYR1,6261,7,2
S100A1,6271,7,2
SCD,6319,7,6
SLC16A1,6566,7,1
SLC25A4,291,7,2
SLC30A2,7780,7,3
STK11,6794,7,1
TIMP3,7078,7,3
TRPV6,55503,7,3
UCHL1,7345,7,1
YTHDF2,51441,7,1
ABCB1,5243,6,3
ALDH1A1,216,6,3
APEX1,328,6,3
ARG1,383,6,4
BAG3,9531,6,3
BNIP3,664,6,3
CACNA1S,779,6,1
CALR,811,6,4
CD34,947,6,2
CFTR,1080,6,3
CLU,1191,6,3
CNTF,1270,6,2
COL3A1,1281,6,3
COL4A1,1282,6,4
CYP27B1,1594,6,1
DNM1L,10059,6,2
DNMT1,1786,6,4
DPP4,1803,6,3
EGR1,1958,6,2
ESR2,2100,6,1
FABP5,2171,6,3
FGF15,14170,6,1
FLT1,2321,6,3
FOSB,2354,6,2
FUNDC1,139341,6,3
G0S2,50486,6,2
GADD45A,1647,6,2
GPI,2821,6,2
GPX1A,352926,6,1
GPX3,2878,6,4
HADH,3033,6,3
HAMP,57817,6,3
HBB,3043,6,3
HSP90AB1,3326,6,2
IGF1R,3480,6,2
IGFBP1,3484,6,2
IKBKB,3551,6,3
IL17A,3605,6,3
INHBA,3624,6,2
IRS2,8660,6,3
ITGA5,3678,6,2
ITPR2,3709,6,3
LCAT,3931,6,2
MAFF,23764,6,3
MAP2K4,6416,6,2
METTL14,57721,6,2
MIR363,574031,6,2
MMP13,4322,6,3
MTNB,42424,6,1
MTTP,4547,6,2
MYD88,4615,6,3
NOTCH1,4851,6,3
NR0B2,8431,6,2
PCK1,5105,6,2
PDK4,5166,6,2
PGD,5226,6,4
PPARD,5467,6,2
SHH,6469,6,4
SNCA,6622,6,3
SPARC,6678,6,2
SREBF1,6720,6,4
SREBF2,6721,6,2
TFRC,7037,6,3
TIMP1,7076,6,3
TK1,7083,6,2
TNFSF10,8743,6,2
UBE2D1,7321,6,3
UBE2D2,7322,6,3
UBE2D4,51619,6,2
UCP2,7351,6,2
ZEB1,6935,6,1
ABCB11,8647,5,3
ACACA,31,5,3
ACVR1B,91,5,1
AGT,183,5,3
APOA1,335,5,3
APOA2,336,5,2
APOA4,337,5,5
AREG,374,5,2
ATF5,22809,5,2
ATP6V0D1,9114,5,2
AURKB,9212,5,2
BGLAP,632,5,1
BRCA1,672,5,3
C3,718,5,1
CAMTA1,23261,5,2
CAPNS1,826,5,2
CASR,846,5,1
CAV1,857,5,2
CCNA2,890,5,4
CD36,948,5,2
CDC42,998,5,3
CDK13,8621,5,2
CDKN1B,1027,5,3
CEBPA,1050,5,3
CFL1,1072,5,3
CHSY1,22856,5,1
CORO1A,11151,5,2
CRP,1401,5,4
CSAD,51380,5,5
CXCL1,2919,5,1
CXCR4,7852,5,1
CYP19A1,1588,5,1
DUXAP10,503639,5,1
ELOVL1,64834,5,3
ENDOG,2021,5,3
ENO1,2023,5,2
FAS,355,5,2
FKBP4,2288,5,3
GLRX,2745,5,2
GLS,2744,5,3
GOT1,2805,5,2
GRB10,2887,5,2
GSTA2,2939,5,3
GSTA4,2941,5,3
HES1,3280,5,2
HEY2,23493,5,2
HK1,3098,5,2
HMGB1,3146,5,3
HSP27,39078,5,3
INS1,16333,5,2
ITGA6,3655,5,2
LDLR,3949,5,2
MGMT,4255,5,2
MGST1,4257,5,2
MIR16-2,406951,5,2
MOXD1,26002,5,3
MSH6,2956,5,1
MT1L,4500,5,1
MYH7,4625,5,3
MYO1B,4430,5,3
MYO1C,4641,5,2
NES,10763,5,4
NOS1,4842,5,1
NPPA,4878,5,3
NR3C1,2908,5,2
PFKL,5211,5,2
PFKP,5214,5,2
PGAM1,5223,5,2
PIK3CA,5290,5,2
PLA2G4A,5321,5,2
PLN,5350,5,2
POMC,5443,5,3
PPP1R15A,23645,5,2
PRDX6,9588,5,2
PRKAA2,5563,5,4
PTCH1,5727,5,3
RICTOR,253260,5,1
RPLP0,6175,5,3
RPN1,6184,5,3
RPS6KB1,6198,5,3
SAFB,6294,5,2
SDHB,6390,5,4
SLC25A5,292,5,2
SLC30A1A,393853,5,2
SMAD2,4087,5,2
SRRM2,23524,5,2
STAT6,6778,5,2
STC2,8614,5,3
TCP1,6950,5,3
TET1,80312,5,1
TF,7018,5,3
THBS1,7057,5,2
TM4SF1,4071,5,1
TMEM132A,54972,5,3
TNFA,405785,5,1
TOPBP1,11073,5,2
TRPM7,54822,5,2
VDAC1,7416,5,3
VDAC2,7417,5,2
VWF,7450,5,2
YTHDC2,64848,5,2
AAMP,14,4,2
ABCB6,10058,4,4
ABCC1,4363,4,3
ABCD3,5825,4,2
ACAA1,30,4,3
ACAA2,10449,4,3
ACADM,34,4,3
ACADS,35,4,2
ACO2,50,4,3
ACOT2,10965,4,4
ACOX1,51,4,4
ACSL1,2180,4,2
ACTG2,72,4,2
AKR1C1,1645,4,2
ANGPTL4,51129,4,3
ANXA2,302,4,2
AP3B1,8546,4,2
ATF3,467,4,1
ATG3,64422,4,2
ATP11A,23250,4,2
ATP2A2,488,4,1
ATP7A,538,4,3
ATP7B,540,4,3
BMP2,650,4,1
BRD4,23476,4,2
CACNA1C,775,4,2
CAMK2D,817,4,2
CAPN1,823,4,1
CAPRIN1,4076,4,2
CAT1,100485660,4,1
CCND3,896,4,2
CCNF,899,4,3
CD44,960,4,2
CD68,968,4,2
CDH5,1003,4,2
CHUK,1147,4,2
CITED2,10370,4,3
CLDN1,9076,4,1
COL12A1,1303,4,2
COL1A2,1278,4,3
COL5A1,1289,4,2
COQ10B,80219,4,2
COX2,4513,4,2
COX3,4514,4,3
COX4I1,1327,4,3
CREBRF,153222,4,3
CREG1,8804,4,3
CRYL1,51084,4,3
CTBP1,1487,4,2
CTR1B,40989,4,1
CYB5B,80777,4,2
CYBRD1,79901,4,3
CYP1B1,1545,4,3
DDX20,11218,4,4
DECR1,1666,4,3
DERL2,51009,4,2
DHX35,60625,4,3
DNAJA1,3301,4,2
DNAJA4,55466,4,2
DSTN,11034,4,2
DSTYK,25778,4,3
ECI1,1632,4,3
EDN1,1906,4,2
EGR3,1960,4,2
EHMT2,10919,4,1
ELOVL5,60481,4,3
ENPP2,5168,4,2
EP300,2033,4,3
ERF,2077,4,3
ERGIC1,57222,4,2
EXOC2,55770,4,2
F11,2160,4,2
FABP4,2167,4,3
FAU,2197,4,2
FGB,2244,4,3
FOSL1,8061,4,2
FOSL2,2355,4,3
FSHR,2492,4,1
FTO,79068,4,2
GADD45G,10912,4,2
GART,2618,4,2
GATA4,2626,4,3
GLI1,2735,4,2
GLUL,2752,4,3
GPC1,2817,4,2
GPCPD1,56261,4,2
GPR78,27201,4,1
GRP78,100196613,4,1
GSDME,1687,4,2
GSTA3,2940,4,3
GSTM3,2947,4,2
HACD3,51495,4,2
HAS3,3038,4,1
HEXB,3074,4,2
HEY1,23462,4,2
HMOX2,3163,4,3
HNRNPH1,3187,4,1
HPRT1,3251,4,2
HRG,3273,4,2
HSP70.3,30671,4,1
HSPA1L,3305,4,2
IGF2,3481,4,2
IGFBP3,3486,4,2
IGFBP4,3487,4,2
IGFBP5,3488,4,2
IL2,3558,4,3
IL22,50616,4,1
INSIG2,51141,4,3
INTS6L,203522,4,2
ITGB1,3688,4,1
JADE1,79960,4,2
JAK2,3717,4,2
KCNMA1,3778,4,1
KIF20A,10112,4,3
KRAS,3845,4,2
KRT16,3868,4,2
KRT19,3880,4,2
KRT7,3855,4,1
LAMB3,3914,4,2
LEF1,51176,4,2
LOX,4015,4,1
LPCAT3,10162,4,2
LRP2,4036,4,2
LRRK2,120892,4,2
MAOA,4128,4,3
MAP4,4134,4,2
MAPK11,5600,4,3
MCL1,4170,4,2
MDM2,4193,4,3
MIR122,406906,4,2
MIR222,407007,4,3
MIR25,407014,4,3
MIR326,442900,4,3
MT,30282,4,4
MYH14,79784,4,2
NAMPT,10135,4,3
NAP1L1,4673,4,2
NCAM1,4684,4,2
NCL,4691,4,2
NCOA1,8648,4,2
NDUFS8,4728,4,3
NFE2L2A,360149,4,1
NFIL3,4783,4,3
NKX2-5,1482,4,2
NPC1,4864,4,3
NR1H3,10062,4,2
NR1H4,9971,4,1
NR5A1,2516,4,1
NRP1,8829,4,2
NTM,50863,4,2
NUSAP1,51203,4,3
OAT,4942,4,2
P2RX4,5025,4,2
P2RX7,5027,4,2
P4HB,5034,4,2
PCYT1A,5130,4,3
PDGFB,5155,4,2
PDGFRA,5156,4,2
PDIA3,2923,4,4
PDIA6,10130,4,3
PEMT,10400,4,2
PGLS,25796,4,2
PKLR,5313,4,2
PLIN4,729359,4,3
PLP2,5355,4,1
PLSCR3,57048,4,2
PLXNB2,23654,4,2
PNPLA2,57104,4,2
PNPLA3,80339,4,3
PON1,5444,4,3
PPP3R1,5534,4,2
PPTC7,160760,4,3
PRC1,9055,4,3
PRKAG2,51422,4,3
PRKAG3,53632,4,3
PRKCD,5580,4,2
PSAT1,29968,4,4
PSMD14,10213,4,2
PTEN,5728,4,1
PTGS1,5742,4,3
PTH,5741,4,1
PTPN11,5781,4,2
RAB7,19349,4,1
RAF1,5894,4,2
RB1,5925,4,2
RGS20,8601,4,1
RHEB,6009,4,2
RHOV,171177,4,3
RINT1,60561,4,2
RND3,390,4,1
RORC,6097,4,2
RPL34,6164,4,2
RPSA,3921,4,1
RSRP1,57035,4,3
S100A11,6282,4,3
S100P,6286,4,1
SATB2,23314,4,2
SCD1,20249,4,1
SCP2,6342,4,3
SCTR,6344,4,3
SDC4,6385,4,2
SDHA,6389,4,3
SELENBP1,8991,4,2
SLC16A12,387700,4,3
SLC17A3,10786,4,3
SLC1A5,6510,4,2
SLC22A1,6580,4,2
SLC25A10,1468,4,2
SLC26A1,10861,4,4
SLC27A1,376497,4,2
SLC30A10,55532,4,3
SLC46A1,113235,4,2
SLC47A2,146802,4,1
SLC8A1,6546,4,3
SLIT3,6586,4,3
SMAD4,4089,4,2
SMO,6608,4,3
SNRNP70,6625,4,2
SORBS2,8470,4,2
SP7,121340,4,2
SRC,6714,4,1
STEAP2,261729,4,2
SYCP3,50511,4,1
SYN2,6854,4,1
SYNCRIP,10492,4,2
TAT,6898,4,3
TENM3,55714,4,2
TGFBR1,7046,4,2
THPO,7066,4,2
TMEM214,54867,4,2
TPI1,7167,4,2
TRAF6,7189,4,2
TSHB,7252,4,2
TTR,7276,4,1
TUBB3,10381,4,1
TYMS,7298,4,3
UBC,7316,4,2
UBE2R2,54926,4,3
UGP2,7360,4,2
USP5,8078,4,2
VCP,7415,4,2
VGF,7425,4,3
VPS11,55823,4,2
XIAP,331,4,1
XPA,7507,4,3
YTHDF3,253943,4,2
YWHAZ,7534,4,2
ZFAND2A,90637,4,1
A2M,2,3,2
AAK1,22848,3,2
AARS1,16,3,1
ABAT,18,3,1
ABCA13,154664,3,1
ABCG1,9619,3,2
ABL1,25,3,2
ABLIM2,84448,3,2
ACMSD,130013,3,3
ACTR3,10096,3,3
ADCY6,112,3,2
ADCY9,115,3,1
ADGRE1,2015,3,2
ADH5,128,3,1
ADRA2B,151,3,2
AGER,177,3,1
AHNAK,79026,3,2
AIFM2,84883,3,2
AKR1C2,1646,3,1
AKTIP,64400,3,1
ALCAM,214,3,2
ALDH1A2,8854,3,2
ALDH2,217,3,2
ALDOA,226,3,2
ALG2,85365,3,1
ALKBH5,54890,3,2
AMBP,259,3,1
ANKFY1,51479,3,2
ANKRD1,27063,3,2
ANPEP,290,3,1
AOX1,316,3,3
AP2S1,1175,3,1
APOC3,345,3,1
ARHGAP19,84986,3,2
